index;doses_administered_cumulative;daily_death_count;occupied_normal_beds;occupied_intensive_care_beds
07.01.2020;0;1;0;0
07.02.2020;0;3;0;0
07.03.2020;0;1;0;0
07.04.2020;0;3;0;0
07.05.2020;0;0;0;0
07.06.2020;0;1;0;0
07.07.2020;0;0;0;0
07.08.2020;0;0;0;0
07.09.2020;0;1;0;0
07.10.2020;0;0;0;0
07.11.2020;0;3;0;0
07.12.2020;0;2;0;0
7.13.2020;0;2;0;0
7.14.2020;0;0;0;0
7.15.2020;0;1;0;0
7.16.2020;0;1;0;0
7.17.2020;0;0;0;0
7.18.2020;0;0;0;0
7.19.2020;0;5;0;0
7.20.2020;0;2;0;0
7.21.2020;0;0;0;0
7.22.2020;0;1;0;0
7.23.2020;0;2;0;0
7.24.2020;0;0;0;0
7.25.2020;0;2;0;0
7.26.2020;0;0;0;0
7.27.2020;0;3;0;0
7.28.2020;0;0;0;0
7.29.2020;0;1;0;0
7.30.2020;0;4;0;0
7.31.2020;0;3;0;0
08.01.2020;0;3;0;0
08.02.2020;0;2;0;0
08.03.2020;0;1;0;0
08.04.2020;0;0;0;0
08.05.2020;0;1;0;0
08.06.2020;0;2;0;0
08.07.2020;0;4;0;0
08.08.2020;0;2;0;0
08.09.2020;0;1;0;0
08.10.2020;0;0;0;0
08.11.2020;0;2;0;0
08.12.2020;0;2;0;0
8.13.2020;0;3;0;0
8.14.2020;0;1;0;0
8.15.2020;0;1;0;0
8.16.2020;0;1;0;0
8.17.2020;0;1;0;0
8.18.2020;0;2;0;0
8.19.2020;0;2;0;0
8.20.2020;0;1;0;0
8.21.2020;0;3;0;0
8.22.2020;0;2;0;0
8.23.2020;0;2;0;0
8.24.2020;0;5;0;0
8.25.2020;0;0;0;0
8.26.2020;0;0;0;0
8.27.2020;0;0;0;0
8.28.2020;0;1;0;0
8.29.2020;0;0;0;0
8.30.2020;0;0;0;0
8.31.2020;0;3;0;0
09.01.2020;0;2;0;0
09.02.2020;0;2;0;0
09.03.2020;0;1;0;0
09.04.2020;0;5;0;0
09.05.2020;0;1;0;0
09.06.2020;0;2;0;0
09.07.2020;0;0;0;0
09.08.2020;0;1;0;0
09.09.2020;0;1;0;0
09.10.2020;0;4;0;0
09.11.2020;0;4;0;0
09.12.2020;0;4;0;0
9.13.2020;0;1;0;0
9.14.2020;0;1;0;0
9.15.2020;0;0;0;0
9.16.2020;0;5;0;0
9.17.2020;0;5;0;0
9.18.2020;0;4;0;0
9.19.2020;0;3;0;0
9.20.2020;0;5;0;0
9.21.2020;0;4;0;0
9.22.2020;0;3;0;0
9.23.2020;0;5;0;0
9.24.2020;0;6;0;0
9.25.2020;0;5;0;0
9.26.2020;0;5;0;0
9.27.2020;0;6;0;0
9.28.2020;0;2;0;0
9.29.2020;0;6;0;0
9.30.2020;0;3;0;0
10.01.2020;0;8;0;0
10.02.2020;0;6;0;0
10.03.2020;0;5;0;0
10.04.2020;0;10;0;0
10.05.2020;0;9;0;0
10.06.2020;0;12;0;0
10.07.2020;0;8;0;0
10.08.2020;0;10;0;0
10.09.2020;0;9;0;0
10.10.2020;0;8;0;0
10.11.2020;0;13;0;0
10.12.2020;0;10;0;0
10.13.2020;0;7;0;0
10.14.2020;0;8;0;0
10.15.2020;0;6;0;0
10.16.2020;0;10;0;0
10.17.2020;0;16;0;0
10.18.2020;0;9;0;0
10.19.2020;0;15;0;0
10.20.2020;0;13;0;0
10.21.2020;0;20;0;0
10.22.2020;0;19;0;0
10.23.2020;0;20;0;0
10.24.2020;0;17;0;0
10.25.2020;0;22;0;0
10.26.2020;0;26;0;0
10.27.2020;0;31;0;0
10.28.2020;0;35;0;0
10.29.2020;0;43;0;0
10.30.2020;0;40;0;0
10.31.2020;0;53;0;0
11.01.2020;0;33;0;0
11.02.2020;0;41;0;0
11.03.2020;0;55;0;0
11.04.2020;0;64;0;0
11.05.2020;0;59;0;0
11.06.2020;0;48;0;0
11.07.2020;0;75;0;0
11.08.2020;0;55;0;0
11.09.2020;0;81;0;0
11.10.2020;0;71;0;0
11.11.2020;0;89;0;0
11.12.2020;0;101;0;0
11.13.2020;0;99;0;0
11.14.2020;0;97;0;0
11.15.2020;0;84;0;0
11.16.2020;0;102;0;0
11.17.2020;0;105;0;0
11.18.2020;0;95;0;0
11.19.2020;0;117;0;0
11.20.2020;0;127;0;0
11.21.2020;0;118;0;0
11.22.2020;0;105;0;0
11.23.2020;0;123;0;0
11.24.2020;0;105;0;0
11.25.2020;0;121;0;0
11.26.2020;0;1;0;0
11.27.2020;0;1;0;0
11.28.2020;0;136;0;0
11.29.2020;0;122;0;0
11.30.2020;0;136;0;0
12.01.2020;0;143;0;0
12.02.2020;0;137;0;0
12.03.2020;0;145;0;0
12.04.2020;0;1;0;0
12.05.2020;0;123;0;0
12.06.2020;0;105;0;0
12.07.2020;0;131;0;0
12.08.2020;0;117;0;0
12.09.2020;0;133;0;0
12.10.2020;0;122;0;0
12.11.2020;0;139;0;0
12.12.2020;0;105;0;0
12.13.2020;0;105;0;0
12.14.2020;0;116;0;0
12.15.2020;0;97;0;0
12.16.2020;0;105;0;0
12.17.2020;0;108;0;0
12.18.2020;0;95;0;0
12.19.2020;0;94;0;0
12.20.2020;0;91;0;0
12.21.2020;0;90;0;0
12.22.2020;0;114;0;0
12.23.2020;0;99;0;0
12.24.2020;0;86;0;0
12.25.2020;0;70;0;0
12.26.2020;0;94;0;0
12.27.2020;776;64;0;0
12.28.2020;2122;89;0;0
12.29.2020;3816;83;0;0
12.30.2020;5246;78;0;0
12.31.2020;5272;73;0;0
01.01.2021;5293;69;0;0
01.02.2021;5324;69;1433;294
01.03.2021;5346;57;1073;296
01.04.2021;5499;75;1765;534
01.05.2021;7346;60;1081;482
01.06.2021;8231;69;268;147
01.07.2021;11565;71;112;53
01.08.2021;24899;52;96;30
01.09.2021;29484;49;401;141
01.10.2021;31760;60;628;220
01.11.2021;37551;69;1260;308
01.12.2021;52719;72;2651;651
1.13.2021;68991;64;0;0
1.14.2021;86142;61;0;0
1.15.2021;104879;63;0;0
1.16.2021;111825;70;0;0
1.17.2021;117593;51;0;0
1.18.2021;129266;65;0;0
1.19.2021;155737;57;0;0
1.20.2021;179681;44;0;0
1.21.2021;199801;64;0;0
1.22.2021;211528;50;0;0
1.23.2021;214746;70;0;0
1.24.2021;216047;50;1518;323
1.25.2021;217627;53;1548;321
1.26.2021;226491;57;1583;313
1.27.2021;234688;51;1526;304
1.28.2021;244824;50;1478;304
1.29.2021;260095;56;1428;295
1.30.2021;263890;45;1385;297
1.31.2021;265355;57;1387;297
02.01.2021;270248;51;1433;294
02.02.2021;288106;58;1429;300
02.03.2021;306726;36;1383;303
02.04.2021;327898;38;1342;298
02.05.2021;349566;36;1304;300
02.06.2021;358861;39;1289;300
02.07.2021;363959;40;1275;285
02.08.2021;373938;37;1299;281
