index,date,stateID,occupied_normal_beds,occupied_intensive_care_beds
0,2021-01-24,1,38,7
1,2021-01-24,2,72,9
2,2021-01-24,3,359,53
3,2021-01-24,4,240,38
4,2021-01-24,5,97,22
5,2021-01-24,6,223,48
6,2021-01-24,7,97,31
7,2021-01-24,8,46,12
8,2021-01-24,9,346,103
9,2021-01-25,1,43,6
10,2021-01-25,2,81,10
11,2021-01-25,3,359,54
12,2021-01-25,4,243,39
13,2021-01-25,5,103,21
14,2021-01-25,6,228,50
15,2021-01-25,7,102,32
16,2021-01-25,8,47,12
17,2021-01-25,9,342,97
18,2021-01-26,1,41,5
19,2021-01-26,2,89,9
20,2021-01-26,3,367,53
21,2021-01-26,4,237,37
22,2021-01-26,5,101,20
23,2021-01-26,6,239,48
24,2021-01-26,7,111,29
25,2021-01-26,8,41,12
26,2021-01-26,9,357,100
27,2021-01-27,1,31,8
28,2021-01-27,2,87,9
29,2021-01-27,3,357,53
30,2021-01-27,4,220,37
31,2021-01-27,5,97,17
32,2021-01-27,6,226,44
33,2021-01-27,7,102,26
34,2021-01-27,8,41,11
35,2021-01-27,9,365,99
36,2021-01-28,1,35,9
37,2021-01-28,2,85,10
38,2021-01-28,3,341,53
39,2021-01-28,4,208,32
40,2021-01-28,5,88,18
41,2021-01-28,6,227,43
42,2021-01-28,7,91,28
43,2021-01-28,8,36,11
44,2021-01-28,9,367,100
45,2021-01-29,1,30,9
46,2021-01-29,2,81,9
47,2021-01-29,3,330,52
48,2021-01-29,4,188,34
49,2021-01-29,5,87,19
50,2021-01-29,6,217,37
51,2021-01-29,7,86,30
52,2021-01-29,8,41,9
53,2021-01-29,9,368,96
54,2021-01-30,1,36,8
55,2021-01-30,2,82,8
56,2021-01-30,3,317,56
57,2021-01-30,4,160,33
58,2021-01-30,5,88,19
59,2021-01-30,6,199,39
60,2021-01-30,7,96,30
61,2021-01-30,8,40,10
62,2021-01-30,9,367,94
63,2021-01-31,1,36,7
64,2021-01-31,2,80,7
65,2021-01-31,3,316,55
66,2021-01-31,4,160,35
