date,state_id,doses_administered_cumulative
2020-12-27,1,88
2020-12-27,2,0
2020-12-27,3,188
2020-12-27,4,15
2020-12-27,5,82
2020-12-27,6,14
2020-12-27,7,13
2020-12-27,8,269
2020-12-27,9,52
2020-12-28,1,122
2020-12-28,2,3
2020-12-28,3,851
2020-12-28,4,22
2020-12-28,5,85
2020-12-28,6,20
2020-12-28,7,95
2020-12-28,8,272
2020-12-28,9,500
2020-12-29,1,142
2020-12-29,2,5
2020-12-29,3,1648
2020-12-29,4,57
2020-12-29,5,87
2020-12-29,6,51
2020-12-29,7,96
2020-12-29,8,274
2020-12-29,9,1141
2020-12-30,1,151
2020-12-30,2,9
2020-12-30,3,2190
2020-12-30,4,69
2020-12-30,5,106
2020-12-30,6,59
2020-12-30,7,102
2020-12-30,8,275
2020-12-30,9,1876
2020-12-31,1,151
2020-12-31,2,9
2020-12-31,3,2197
2020-12-31,4,71
2020-12-31,5,108
2020-12-31,6,60
2020-12-31,7,104
2020-12-31,8,275
2020-12-31,9,1882
2021-01-01,1,151
2021-01-01,2,9
2021-01-01,3,2198
2021-01-01,4,75
2021-01-01,5,109
2021-01-01,6,63
2021-01-01,7,108
2021-01-01,8,276
2021-01-01,9,1884
2021-01-02,1,151
2021-01-02,2,11
2021-01-02,3,2201
2021-01-02,4,78
2021-01-02,5,113
2021-01-02,6,65
2021-01-02,7,116
2021-01-02,8,277
2021-01-02,9,1889
2021-01-03,1,151
2021-01-03,2,14
2021-01-03,3,2204
2021-01-03,4,79
2021-01-03,5,113
2021-01-03,6,65
2021-01-03,7,119
2021-01-03,8,279
2021-01-03,9,1895
2021-01-04,1,161
2021-01-04,2,15
2021-01-04,3,2208
2021-01-04,4,140
2021-01-04,5,163
2021-01-04,6,67
2021-01-04,7,124
2021-01-04,8,280
2021-01-04,9,1906
2021-01-05,1,172
2021-01-05,2,358
2021-01-05,3,2335
2021-01-05,4,506
2021-01-05,5,293
2021-01-05,6,75
2021-01-05,7,488
2021-01-05,8,656
2021-01-05,9,1929
2021-01-06,1,180
2021-01-06,2,359
2021-01-06,3,2486
2021-01-06,4,509
2021-01-06,5,344
2021-01-06,6,82
2021-01-06,7,491
2021-01-06,8,661
2021-01-06,9,2556
2021-01-07,1,213
2021-01-07,2,374
2021-01-07,3,3031
2021-01-07,4,632
2021-01-07,5,952
2021-01-07,6,184
2021-01-07,7,701
2021-01-07,8,1252
2021-01-07,9,3527
2021-01-08,1,428
2021-01-08,2,1620
2021-01-08,3,5374
2021-01-08,4,1116
2021-01-08,5,2417
2021-01-08,6,3072
2021-01-08,7,1105
2021-01-08,8,3637
2021-01-08,9,4984
2021-01-09,1,478
2021-01-09,2,1689
2021-01-09,3,6751
2021-01-09,4,1173
2021-01-09,5,2637
2021-01-09,6,3297
2021-01-09,7,1158
2021-01-09,8,5486
2021-01-09,9,5567
2021-01-10,1,507
2021-01-10,2,1692
2021-01-10,3,7633
2021-01-10,4,1186
2021-01-10,5,2677
2021-01-10,6,3315
2021-01-10,7,1181
2021-01-10,8,6572
2021-01-10,9,5698
2021-01-11,1,796
2021-01-11,2,1860
2021-01-11,3,9958
2021-01-11,4,1335
2021-01-11,5,3241
2021-01-11,6,3966
2021-01-11,7,1321
2021-01-11,8,6694
2021-01-11,9,6845
2021-01-12,1,1364
2021-01-12,2,3627
2021-01-12,3,12948
2021-01-12,4,3195
