,Altersgruppe,Bundesland,Geschlecht,Proportion of death/100
0,15-24,Niederösterreich,M,0.00225017438851511
1,15-24,Niederösterreich,W,0.0
2,15-24,Wien,M,0.004555891679119437
3,15-24,Wien,W,0.0
4,25-34,Niederösterreich,M,0.0029967036260113876
5,25-34,Niederösterreich,W,0.004141129700182209
6,25-34,Wien,M,0.005582399315225684
7,25-34,Wien,W,0.0037860861334595365
8,35-44,Niederösterreich,M,0.016824474001514204
9,35-44,Niederösterreich,W,0.0064920611366671615
10,35-44,Wien,M,0.008487103139520903
11,35-44,Wien,W,0.005781850770431615
12,45-54,Niederösterreich,M,0.04327164548159023
13,45-54,Niederösterreich,W,0.020592138379169907
14,45-54,Wien,M,0.053574797208073954
15,45-54,Wien,W,0.030891211450342376
16,5-14,Niederösterreich,M,0.0
17,5-14,Niederösterreich,W,0.0012439822359336709
18,5-14,Wien,M,0.0010699764605178687
19,5-14,Wien,W,0.0
20,55-64,Niederösterreich,M,0.16706872457861988
21,55-64,Niederösterreich,W,0.07666514368906475
22,55-64,Wien,M,0.17856685149902174
23,55-64,Wien,W,0.07901234567901234
24,65-74,Niederösterreich,M,0.5244542017319186
25,65-74,Niederösterreich,W,0.22951143713692718
26,65-74,Wien,M,0.6157755840093833
27,65-74,Wien,W,0.33524203800159746
28,75-84,Niederösterreich,M,1.4059504366967266
29,75-84,Niederösterreich,W,0.8131330771917569
30,75-84,Wien,M,1.6525898036023203
31,75-84,Wien,W,0.8939883553746067
32,<5,Niederösterreich,M,0.002476596166229135
33,<5,Niederösterreich,W,0.002598077422707197
34,<5,Wien,M,0.0
35,<5,Wien,W,0.0
36,>84,Niederösterreich,M,4.4447315718069635
37,>84,Niederösterreich,W,3.3920265780730894
38,>84,Wien,M,5.35944344241175
39,>84,Wien,W,4.162195308906945
